run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses
51,42,270,0.35,15,50,10,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,112.73358583450317,logs\backtest_results\EUR-USD_20251104_214629_626383,25
56,42,270,0.35,15,50,15,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,111.76446175575256,logs\backtest_results\EUR-USD_20251104_214633_027677,25
58,42,270,0.35,15,50,15,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.57035756111145,logs\backtest_results\EUR-USD_20251104_214815_694622,25
61,42,270,0.35,15,50,20,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.95693445205688,logs\backtest_results\EUR-USD_20251104_214816_759815,25
57,42,270,0.35,15,50,15,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,111.7363657951355,logs\backtest_results\EUR-USD_20251104_214817_303752,25
63,42,270,0.35,15,50,20,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.13483214378357,logs\backtest_results\EUR-USD_20251104_214817_431778,25
64,42,270,0.35,15,50,20,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.63462543487549,logs\backtest_results\EUR-USD_20251104_214817_862213,25
65,42,270,0.35,15,50,20,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.22049069404602,logs\backtest_results\EUR-USD_20251104_214818_398523,25
66,42,270,0.35,15,50,25,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,107.24002146720886,logs\backtest_results\EUR-USD_20251104_214821_093898,25
62,42,270,0.35,15,50,20,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,118.0993299484253,logs\backtest_results\EUR-USD_20251104_214825_931321,25
67,42,270,0.35,15,50,25,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.35774397850037,logs\backtest_results\EUR-USD_20251104_215006_133673,25
68,42,270,0.35,15,50,25,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.18469882011414,logs\backtest_results\EUR-USD_20251104_215006_890445,25
69,42,270,0.35,15,50,25,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.5575692653656,logs\backtest_results\EUR-USD_20251104_215007_917868,25
70,42,270,0.35,15,50,25,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,110.01272678375244,logs\backtest_results\EUR-USD_20251104_215008_320823,25
71,42,270,0.35,15,50,30,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.99833631515503,logs\backtest_results\EUR-USD_20251104_215008_794337,25
72,42,270,0.35,15,50,30,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.71392703056335,logs\backtest_results\EUR-USD_20251104_215008_993500,25
73,42,270,0.35,15,50,30,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,108.84087419509888,logs\backtest_results\EUR-USD_20251104_215010_817014,25
74,42,270,0.35,15,50,30,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,109.04876589775085,logs\backtest_results\EUR-USD_20251104_215014_684163,25
75,42,270,0.35,15,50,30,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-10460.57,-0.065,0.20689655172413793,0.0,464,489.84218750000014,-156.21038043478254,0.0,-22.544331896551647,165785,completed,,103.1158356666565,logs\backtest_results\EUR-USD_20251104_215149_282749,25
76,42,270,0.35,15,60,10,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-9332.04,-0.058,0.1811926605504587,0.0,436,587.5898734177216,-156.1670588235293,0.0,-21.40376146788979,167106,completed,,102.87281012535095,logs\backtest_results\EUR-USD_20251104_215150_115418,25
81,42,270,0.35,15,60,15,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-9332.04,-0.058,0.1811926605504587,0.0,436,587.5898734177216,-156.1670588235293,0.0,-21.40376146788979,167106,completed,,103.27211451530457,logs\backtest_results\EUR-USD_20251104_215151_258700,25
86,42,270,0.35,15,60,20,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-9332.04,-0.058,0.1811926605504587,0.0,436,587.5898734177216,-156.1670588235293,0.0,-21.40376146788979,167106,completed,,103.17168998718262,logs\backtest_results\EUR-USD_20251104_215152_590343,25
83,42,270,0.35,15,60,15,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-9332.04,-0.058,0.1811926605504587,0.0,436,587.5898734177216,-156.1670588235293,0.0,-21.40376146788979,167106,completed,,103.81368088722229,logs\backtest_results\EUR-USD_20251104_215152_938027,25
87,42,270,0.35,15,60,20,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-9332.04,-0.058,0.1811926605504587,0.0,436,587.5898734177216,-156.1670588235293,0.0,-21.40376146788979,167106,completed,,103.58155679702759,logs\backtest_results\EUR-USD_20251104_215154_491274,25
82,42,270,0.35,15,60,15,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-9332.04,-0.058,0.1811926605504587,0.0,436,587.5898734177216,-156.1670588235293,0.0,-21.40376146788979,167106,completed,,106.61909556388855,logs\backtest_results\EUR-USD_20251104_215155_135471,25
