run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,regime_detection_enabled,regime_adx_trending_threshold,regime_adx_ranging_threshold,regime_tp_multiplier_trending,regime_tp_multiplier_ranging,regime_sl_multiplier_trending,regime_sl_multiplier_ranging,regime_trailing_activation_multiplier_trending,regime_trailing_activation_multiplier_ranging,regime_trailing_distance_multiplier_trending,regime_trailing_distance_multiplier_ranging,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
31,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,25.0,20.0,1.3,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,114.55967140197754,logs\backtest_results\EUR-USD_20251115_170703,7,-0.04219337068412477,31
32,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,25.0,20.0,1.3,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,113.53885626792908,logs\backtest_results\EUR-USD_20251115_170704,7,-0.04219337068412477,32
34,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,25.0,20.0,1.6,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,111.9765374660492,logs\backtest_results\EUR-USD_20251115_170852,7,-0.04219337068412477,33
35,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,25.0,20.0,1.6,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,112.00397944450378,logs\backtest_results\EUR-USD_20251115_170853,7,-0.04219337068412477,34
36,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,25.0,20.0,1.6,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,111.81240510940552,logs\backtest_results\EUR-USD_20251115_170853,7,-0.04219337068412477,35
38,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.0,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,111.77319931983948,logs\backtest_results\EUR-USD_20251115_170854,7,-0.04219337068412477,36
37,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.0,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,112.07261848449707,logs\backtest_results\EUR-USD_20251115_170854,7,-0.04219337068412477,37
39,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.0,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,111.72831559181213,logs\backtest_results\EUR-USD_20251115_170855,7,-0.04219337068412477,38
40,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.3,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,112.20328640937805,logs\backtest_results\EUR-USD_20251115_170856,7,-0.04219337068412477,39
41,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.3,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,112.06912541389465,logs\backtest_results\EUR-USD_20251115_170859,7,-0.04219337068412477,40
43,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.6,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,114.75168037414551,logs\backtest_results\EUR-USD_20251115_171048,7,-0.04219337068412477,41
42,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.3,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,115.87433218955994,logs\backtest_results\EUR-USD_20251115_171048,7,-0.04219337068412477,42
44,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.6,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,115.15224552154541,logs\backtest_results\EUR-USD_20251115_171048,7,-0.04219337068412477,43
46,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,20.0,1.0,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,114.54545021057129,logs\backtest_results\EUR-USD_20251115_171048,7,-0.04219337068412477,44
45,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,15.0,1.6,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,115.06216359138489,logs\backtest_results\EUR-USD_20251115_171049,7,-0.04219337068412477,45
47,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,30.0,20.0,1.0,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,115.52227735519409,logs\backtest_results\EUR-USD_20251115_171050,7,-0.04219337068412477,46
