run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
102,30,100,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-4444.26,-0.024,0.2408026755852843,0.0,299,745.9551388888889,-256.1807488986782,0.0,-14.863745819397817,143606,completed,,174.30823612213135,logs\backtest_results\EUR-USD_20251105_105102_696075,16,-0.024,65
190,42,270,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-2847.16,-0.024,0.24083769633507854,0.0,191,744.5917391304349,-255.85089655172413,0.0,-14.906596858638704,10413,completed,,106.06977033615112,logs\backtest_results\EUR-USD_20251105_110245_040985,10,-0.024,66
81,20,50,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-5705.55,-0.027,0.3222748815165877,0.0,422,495.0348529411767,-255.35066433566436,0.0,-13.520260663507042,141072,completed,,178.83205890655518,logs\backtest_results\EUR-USD_20251105_104650_222949,16,-0.027,67
95,20,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-4388.91,-0.027,0.3993055555555556,0.0,288,494.8614782608698,-354.32358381502894,0.0,-15.239270833333256,118286,completed,,174.21942734718323,logs\backtest_results\EUR-USD_20251105_104940_079089,10,-0.027,68
129,10,50,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-4936.64,-0.027,0.3211267605633803,0.0,355,495.2129824561404,-254.73410788381747,0.0,-13.906028169014082,23292,completed,,121.83800458908081,logs\backtest_results\EUR-USD_20251105_105450_603123,14,-0.027,69
157,20,270,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-3421.77,-0.027,0.32083333333333336,0.0,240,495.96181818181856,-255.28116564417192,0.0,-14.257374999999975,8281,completed,,110.8430438041687,logs\backtest_results\EUR-USD_20251105_105901_408137,10,-0.027,70
203,10,200,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-3221.26,-0.028,0.39893617021276595,0.0,188,494.1185333333335,-356.46150442477875,0.0,-17.13436170212759,8269,completed,,100.9210193157196,logs\backtest_results\EUR-USD_20251105_110418_704703,6,-0.028,71
34,30,50,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-5429.44,-0.03,0.2403846153846154,0.0,312,740.1778666666663,-257.1425316455695,0.0,-17.402051282051236,421895,completed,,294.7528247833252,logs\backtest_results\EUR-USD_20251105_103539_803307,23,-0.03,72
133,10,100,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-5035.62,-0.03,0.3198757763975155,0.0,322,494.6375728155341,-255.63146118721468,0.0,-15.638571428571456,18127,completed,,118.88881921768188,logs\backtest_results\EUR-USD_20251105_105553_691965,13,-0.03,73
65,10,50,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-6742.26,-0.031,0.32036613272311215,0.0,437,494.86228571428575,-255.9696296296295,0.0,-15.428512585812241,147876,completed,,167.63669776916504,logs\backtest_results\EUR-USD_20251105_104342_540817,14,-0.031,74
