timestamp_ns,delivery_count
1769471100000000000,2
1769472000000000000,2
1769472900000000000,2
1769473800000000000,2
1769474700000000000,2
1769475600000000000,2
1769476500000000000,2
1769477400000000000,2
1769478300000000000,2
1769479200000000000,2
1769480100000000000,2
1769481000000000000,2
1769481900000000000,2
1769482800000000000,2
1769483700000000000,2
1769484600000000000,2
1769485500000000000,2
1769486400000000000,2
1769487300000000000,2
1769488200000000000,2
1769489100000000000,2
1769490000000000000,2
1769490900000000000,2
1769491800000000000,2
1769492700000000000,2
1769493600000000000,2
1769494500000000000,2
1769495400000000000,2
1769496300000000000,2
1769497200000000000,2
1769498100000000000,2
1769499000000000000,2
1769499900000000000,2
1769500800000000000,2
1769501700000000000,2
1769502600000000000,2
1769503500000000000,2
1769504400000000000,2
1769505300000000000,2
1769506200000000000,2
1769507100000000000,2
1769508000000000000,2
1769508900000000000,2
1769509800000000000,2
1769510700000000000,2
1769511600000000000,2
1769512500000000000,2
1769513400000000000,2
1769514300000000000,2
1769515200000000000,2
1769516100000000000,2
1769517000000000000,2
1769517900000000000,2
1769518800000000000,2
1769519700000000000,2
1769520600000000000,2
1769521500000000000,2
1769522400000000000,2
1769523300000000000,2
1769524200000000000,2
1769525100000000000,2
1769526000000000000,2
1769526900000000000,2
1769527800000000000,2
1769528700000000000,2
1769529600000000000,2
1769530500000000000,2
1769531400000000000,2
1769532300000000000,2
1769533200000000000,2
1769534100000000000,2
1769535000000000000,2
1769535900000000000,2
1769536800000000000,2
1769537700000000000,2
1769538600000000000,2
1769539500000000000,2
1769540400000000000,2
1769541300000000000,2
1769542200000000000,2
1769543100000000000,2
1769544000000000000,2
1769544900000000000,2
1769545800000000000,2
1769546700000000000,2
1769547600000000000,2
1769548500000000000,2
1769549400000000000,2
1769550300000000000,2
1769552100000000000,2
1769553000000000000,2
1769553900000000000,2
1769554800000000000,2
1769555700000000000,2
1769556600000000000,2
1769557500000000000,2
1769558400000000000,2
1769559300000000000,2
1769560200000000000,2
1769561100000000000,2
1769562000000000000,2
1769562900000000000,2
1769563800000000000,2
1769564700000000000,2
1769565600000000000,2
