timestamp,bar_close_time,signal_type,action,reason,fast_sma,slow_sma
2025-08-19 15:45:00+00:00,2025-08-19 15:50:00+00:00,BUY,rejected,crossover_threshold_not_met (diff=0.28 pips < 0.35 pips threshold),1.166801,1.1667734814814819
2025-08-20 10:25:00+00:00,2025-08-20 10:30:00+00:00,BUY,rejected,"stochastic_crossing_direction_mismatch (last crossing was BEARISH, need BULLISH)",1.1648140000000002,1.1647757037037036
2025-08-20 10:30:00+00:00,2025-08-20 10:35:00+00:00,BUY,rejected,"stochastic_crossing_direction_mismatch (last crossing was BEARISH, need BULLISH)",1.1649160000000003,1.1647638148148147
2025-08-20 10:35:00+00:00,2025-08-20 10:40:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=11.88 <= -DI=14.36, bearish trend)",1.1649890000000003,1.1647515185185184
2025-08-20 10:40:00+00:00,2025-08-20 10:45:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=6.24 <= -DI=24.34, bearish trend)",1.1650170000000002,1.1647373703703705
2025-08-20 10:45:00+00:00,2025-08-20 10:50:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=6.62 <= -DI=19.91, bearish trend)",1.165029,1.164723777777778
2025-08-20 10:50:00+00:00,2025-08-20 10:55:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=4.97 <= -DI=23.01, bearish trend)",1.1650120000000002,1.1647095555555556
2025-08-20 10:55:00+00:00,2025-08-20 11:00:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=10.96 <= -DI=13.51, bearish trend)",1.1650110000000002,1.1646952592592592
2025-08-20 11:00:00+00:00,2025-08-20 11:05:00+00:00,BUY,rejected,"stochastic_crossing_direction_mismatch (last crossing was BEARISH, need BULLISH)",1.164954,1.1646805555555553
2025-08-20 11:05:00+00:00,2025-08-20 11:10:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=7.86 <= -DI=16.93, bearish trend)",1.164873,1.164667148148148
2025-08-20 11:10:00+00:00,2025-08-20 11:15:00+00:00,BUY,rejected,"stochastic_crossing_direction_mismatch (last crossing was BEARISH, need BULLISH)",1.164826,1.1646542222222225
2025-08-20 11:15:00+00:00,2025-08-20 11:20:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=7.26 <= -DI=10.57, bearish trend)",1.1647399999999997,1.1646432592592593
