trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250805-080000-001-V2-2638,O-20250805-080000-001-V2-2639,BUY,FLAT,0.00,100000.00,1754380800000000000,2025-08-05 08:00:00+00:00,1754383560000000000,2025-08-05 08:46:00+00:00,2760000000000.0,1.15462,1.15325,['4.62 USD'],-0.00119,-141.62 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250806-020000-001-V2-2641,O-20250806-020000-001-V2-2642,SELL,FLAT,0.00,100000.00,1754445600000000000,2025-08-06 02:00:00+00:00,1754449860000000000,2025-08-06 03:11:00+00:00,4260000000000.0,1.15672,1.15741,['4.62 USD'],-0.0006,-73.62 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250806-031500-001-V2-2644,O-20250806-031500-001-V2-2645,SELL,FLAT,0.00,100000.00,1754450100000000000,2025-08-06 03:15:00+00:00,1754452680000000000,2025-08-06 03:58:00+00:00,2580000000000.0,1.15739,1.1582,['4.63 USD'],-0.0007,-85.63 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250806-104500-001-V2-2647,O-20250806-104500-001-V2-2649,BUY,FLAT,0.00,100000.00,1754477100000000000,2025-08-06 10:45:00+00:00,1754479860000000000,2025-08-06 11:31:00+00:00,2760000000000.0,1.1602,1.16151,['4.64 USD'],0.00113,126.36 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250806-214500-001-V2-2650,O-20250806-214500-001-V2-2651,SELL,FLAT,0.00,100000.00,1754516700000000000,2025-08-06 21:45:00+00:00,1754517720000000000,2025-08-06 22:02:00+00:00,1020000000000.0,1.16552,1.16645,['4.66 USD'],-0.0008,-97.66 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250806-221500-001-V2-2653,O-20250806-221500-001-V2-2654,BUY,FLAT,0.00,100000.00,1754518500000000000,2025-08-06 22:15:00+00:00,1754525160000000000,2025-08-07 00:06:00+00:00,6660000000000.0,1.16647,1.16552,['4.66 USD'],-0.00081,-99.66 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20251010-153000-001-V2-2656,O-20251010-153000-001-V2-2658,SELL,FLAT,0.00,100000.00,1760110200000000000,2025-10-10 15:30:00+00:00,1760111520000000000,2025-10-10 15:52:00+00:00,1320000000000.0,1.16274,1.16098,['4.65 USD'],0.00151,171.35 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20251010-161500-001-V2-2659,O-20251010-161500-001-V2-2661,SELL,FLAT,0.00,100000.00,1760112900000000000,2025-10-10 16:15:00+00:00,1760115600000000000,2025-10-10 17:00:00+00:00,2700000000000.0,1.16211,1.16043,['4.64 USD'],0.00145,163.36 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20251010-200000-001-V2-2662,O-20251010-200000-001-V2-2664,SELL,FLAT,0.00,100000.00,1760126400000000000,2025-10-10 20:00:00+00:00,1760128680000000000,2025-10-10 20:38:00+00:00,2280000000000.0,1.16128,1.16041,['4.64 USD'],0.00075,82.36 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20251010-204500-001-V2-2665,O-20251010-204500-001-V2-2667,BUY,FLAT,0.00,100000.00,1760129100000000000,2025-10-10 20:45:00+00:00,1760129520000000000,2025-10-10 20:52:00+00:00,420000000000.0,1.16073,1.162,['4.64 USD'],0.00109,122.36 USD,True
