client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20250218-231500-001-V2-679,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-679,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-97263,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.04463,0.0,['2.09 USD'],NO_TRIGGER,FILLED,OTO,OL-20250218-231500-001-V2-227,"['O-20250218-231500-001-V2-680', 'O-20250218-231500-001-V2-681']",,,,,['V2_POS1'],96e40309-f745-4f3d-9db6-569606ec414b,1739920500000000000,1739920500000000000,,,,,,,
O-20250218-231500-001-V2-680,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-680,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-97489,STOP_MARKET,SELL,100000.00,GTC,True,False,100000.00,TAKER,1.04417,1.999999999990898e-05,['2.09 USD'],NO_TRIGGER,FILLED,OUO,OL-20250218-231500-001-V2-227,['O-20250218-231500-001-V2-681'],O-20250218-231500-001-V2-679,,,,['V2_POS1_SL'],af0f5f31-53b7-4eef-bc13-8eaa4825e333,1739920500000000000,1739927280000000000,1.04419,DEFAULT,,,,,
O-20250218-231500-001-V2-681,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-681,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,LIMIT,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250218-231500-001-V2-227,['O-20250218-231500-001-V2-680'],O-20250218-231500-001-V2-679,,,,['V2_POS1_TP'],594b6cd2-1a37-40b6-b2f9-890dad7cc061,1739920500000000000,1739927280000000000,,,,,1.04514,False,
O-20250219-170000-001-V2-682,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-682,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-99394,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.04046,0.0,['2.08 USD'],NO_TRIGGER,FILLED,OTO,OL-20250219-170000-001-V2-228,"['O-20250219-170000-001-V2-683', 'O-20250219-170000-001-V2-684']",,,,,['V2_POS1'],a94ecfa8-9c98-4673-9743-afaa14405bb0,1739984400000000000,1739984400000000000,,,,,,,
O-20250219-170000-001-V2-683,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-683,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,STOP_MARKET,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250219-170000-001-V2-228,['O-20250219-170000-001-V2-684'],O-20250219-170000-001-V2-682,,,,['V2_POS1_SL'],44720ca2-7d89-4b69-9e38-0a093c8ade84,1739984400000000000,1739990040000000000,1.03958,DEFAULT,,,,,
O-20250219-170000-001-V2-684,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-684,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-99583,LIMIT,SELL,100000.00,GTC,True,False,100000.00,MAKER,1.04155,-2.999999999997449e-05,['2.08 USD'],NO_TRIGGER,FILLED,OUO,OL-20250219-170000-001-V2-228,['O-20250219-170000-001-V2-683'],O-20250219-170000-001-V2-682,,,,['V2_POS1_TP'],de5c24fe-769f-4d34-a465-3e42192165db,1739984400000000000,1739990040000000000,,,,,1.04152,False,
O-20250220-040000-001-V2-685,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-685,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-100686,MARKET,SELL,100000.00,GTC,False,False,100000.00,TAKER,1.04312,0.0,['2.09 USD'],NO_TRIGGER,FILLED,OTO,OL-20250220-040000-001-V2-229,"['O-20250220-040000-001-V2-686', 'O-20250220-040000-001-V2-687']",,,,,['V2_POS1'],1fca7b79-c1a4-4df0-92a1-3c0065c19f0c,1740024000000000000,1740024000000000000,,,,,,,
O-20250220-040000-001-V2-686,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-686,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,STOP_MARKET,BUY,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250220-040000-001-V2-229,['O-20250220-040000-001-V2-687'],O-20250220-040000-001-V2-685,,,,['V2_POS1_SL'],5e3dcdfd-b912-48df-ba85-f0530dff5a2e,1740024000000000000,1740025920000000000,1.04371,DEFAULT,,,,,
O-20250220-040000-001-V2-687,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-687,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-100751,LIMIT,BUY,100000.00,GTC,True,False,100000.00,MAKER,1.04244,0.0,['2.08 USD'],NO_TRIGGER,FILLED,OUO,OL-20250220-040000-001-V2-229,['O-20250220-040000-001-V2-686'],O-20250220-040000-001-V2-685,,,,['V2_POS1_TP'],cdef4650-a565-467d-b831-7b538bcfc891,1740024000000000000,1740025920000000000,,,,,1.04244,False,
O-20250220-133000-001-V2-688,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-688,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-101829,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.04511,0.0,['2.09 USD'],NO_TRIGGER,FILLED,OTO,OL-20250220-133000-001-V2-230,"['O-20250220-133000-001-V2-689', 'O-20250220-133000-001-V2-690']",,,,,['V2_POS1'],a9b3a00e-7a5a-423d-bb0a-2b45e49ff255,1740058200000000000,1740058200000000000,,,,,,,
O-20250220-133000-001-V2-689,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-689,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-101873,STOP_MARKET,SELL,100000.00,GTC,True,False,100000.00,TAKER,1.04437,1.999999999990898e-05,['2.09 USD'],NO_TRIGGER,FILLED,OUO,OL-20250220-133000-001-V2-230,['O-20250220-133000-001-V2-690'],O-20250220-133000-001-V2-688,,,,['V2_POS1_SL'],cc49baa5-ea92-4d9d-a28d-4601504d4fb7,1740058200000000000,1740059520000000000,1.04439,DEFAULT,,,,,
O-20250220-133000-001-V2-690,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-690,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,LIMIT,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250220-133000-001-V2-230,['O-20250220-133000-001-V2-689'],O-20250220-133000-001-V2-688,,,,['V2_POS1_TP'],de2c3976-10df-473e-93fc-7af886cbbf79,1740058200000000000,1740059520000000000,,,,,1.04595,False,
